"Identifier","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IsomericSMILES","InChI","InChIKey","IUPACName","ExactMass","MonoisotopicMass"
"5-HYDROXYINDOLEACETATE",1826,"C10H9NO3",191.18,"C1=CC2=C(C=C1O)C(=CN2)CC(=O)O","C1=CC2=C(C=C1O)C(=CN2)CC(=O)O","InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)","DUUGKQCEGZLZNO-UHFFFAOYSA-N","2-(5-hydroxy-1H-indol-3-yl)acetic acid",191.058243149,191.058243149
"5-Hydroxy-L-tryptophan",439280,"C11H12N2O3",220.22,"C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N","C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N","InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1","LDCYZAJDBXYCGN-VIFPVBQESA-N","(2S)-2-amino-3-(5-hydroxy-1H-indol-3-yl)propanoic acid",220.08479225,220.08479225
"5'-S-Methyl-5'-thioadenosine",439176,"C11H15N5O3S",297.34,"CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O","InChI=1S/C11H15N5O3S/c1-20-2-5-7(17)8(18)11(19-5)16-4-15-6-9(12)13-3-14-10(6)16/h3-5,7-8,11,17-18H,2H2,1H3,(H2,12,13,14)/t5-,7-,8-,11-/m1/s1","WUUGFSXJNOTRMR-IOSLPCCCSA-N","(2R,3R,4S,5S)-2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol",297.08956053,297.08956053
"Acetyl-DL-carnitine",1,"C9H17NO4",203.24,"CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3","RDHQFKQIGNGIED-UHFFFAOYSA-N","3-acetyloxy-4-(trimethylazaniumyl)butanoate",203.11575802,203.11575802
"Acetyl-L-carnitine",7045767,"C9H17NO4",203.24,"CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/t8-/m1/s1","RDHQFKQIGNGIED-MRVPVSSYSA-N","(3R)-3-acetyloxy-4-(trimethylazaniumyl)butanoate",203.11575802,203.11575802
"Adenine",190,"C5H5N5",135.13,"C1=NC2=NC=NC(=C2N1)N","C1=NC2=NC=NC(=C2N1)N","InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)","GFFGJBXGBJISGV-UHFFFAOYSA-N","7H-purin-6-amine",135.05449518,135.05449518
"ADENOSINE",60961,"C10H13N5O4",267.24,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N","C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N","InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1","OIRDTQYFTABQOQ-KQYNXXCUSA-N","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",267.09675391,267.09675391
"ANDROSTERONE",5879,"C19H30O2",290.4,"CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O","C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O","InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12-16,20H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18-,19-/m0/s1","QGXBDMJGAMFCBF-HLUDHZFRSA-N","(3R,5S,8R,9S,10S,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one",290.224580195,290.224580195
"ARGININE",6322,"C6H14N4O2",174.2,"C(CC(C(=O)O)N)CN=C(N)N","C(C[C@@H](C(=O)O)N)CN=C(N)N","InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1","ODKSFYDXXFIFQN-BYPYZUCNSA-N","(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid",174.1116757,174.1116757
"Asn-Leu",18218182,"C10H19N3O4",245.28,"CC(C)CC(C(=O)O)NC(=O)C(CC(=O)N)N","CC(C)CC(C(=O)O)NC(=O)C(CC(=O)N)N","InChI=1S/C10H19N3O4/c1-5(2)3-7(10(16)17)13-9(15)6(11)4-8(12)14/h5-7H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17)","HXWUJJADFMXNKA-UHFFFAOYSA-N","2-[(2,4-diamino-4-oxobutanoyl)amino]-4-methylpentanoic acid",245.1375561,245.1375561
"ASP-PHE",93078,"C13H16N2O5",280.28,"C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N","C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N","InChI=1S/C13H16N2O5/c14-9(7-11(16)17)12(18)15-10(13(19)20)6-8-4-2-1-3-5-8/h1-5,9-10H,6-7,14H2,(H,15,18)(H,16,17)(H,19,20)/t9-,10-/m0/s1","YZQCXOFQZKCETR-UWVGGRQHSA-N","(3S)-3-amino-4-[[(1S)-1-carboxy-2-phenylethyl]amino]-4-oxobutanoic acid",280.10592162,280.10592162
"Asp-Pro",170612,"C9H14N2O5",230.22,"C1CC(N(C1)C(=O)C(CC(=O)O)N)C(=O)O","C1C[C@H](N(C1)C(=O)[C@H](CC(=O)O)N)C(=O)O","InChI=1S/C9H14N2O5/c10-5(4-7(12)13)8(14)11-3-1-2-6(11)9(15)16/h5-6H,1-4,10H2,(H,12,13)(H,15,16)/t5-,6-/m0/s1","UKGGPJNBONZZCM-WDSKDSINSA-N","(2S)-1-[(2S)-2-amino-3-carboxypropanoyl]pyrrolidine-2-carboxylic acid",230.09027155,230.09027155
"Azelaic acid",2266,"C9H16O4",188.22,"C(CCCC(=O)O)CCCC(=O)O","C(CCCC(=O)O)CCCC(=O)O","InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)","BDJRBEYXGGNYIS-UHFFFAOYSA-N","nonanedioic acid",188.10485899,188.10485899
"Benzoic acid",243,"C7H6O2",122.12,"C1=CC=C(C=C1)C(=O)O","C1=CC=C(C=C1)C(=O)O","InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)","WPYMKLBDIGXBTP-UHFFFAOYSA-N","benzoic acid",122.03677943,122.03677943
"Chaulmoogric Acid",441446,"C18H32O2",280.4,"C1CC(C=C1)CCCCCCCCCCCCC(=O)O","C1C[C@@H](C=C1)CCCCCCCCCCCCC(=O)O","InChI=1S/C18H32O2/c19-18(20)16-10-8-6-4-2-1-3-5-7-9-13-17-14-11-12-15-17/h11,14,17H,1-10,12-13,15-16H2,(H,19,20)/t17-/m1/s1","XMVQWNRDPAAMJB-QGZVFWFLSA-N","13-[(1S)-cyclopent-2-en-1-yl]tridecanoic acid",280.240230259,280.240230259
"cis-5,8,11,14-Eicosatetraenoic acid",444899,"C20H32O2",304.5,"CCCCCC=CCC=CCC=CCC=CCCCC(=O)O","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","InChI=1S/C20H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H,21,22)/b7-6-,10-9-,13-12-,16-15-","YZXBAPSDXZZRGB-DOFZRALJSA-N","(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid",304.240230259,304.240230259
"cis-9-Hexadecenoic acid",445638,"C16H30O2",254.41,"CCCCCCC=CCCCCCCCC(=O)O","CCCCCC/C=C\CCCCCCCC(=O)O","InChI=1S/C16H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h7-8H,2-6,9-15H2,1H3,(H,17,18)/b8-7-","SECPZKHBENQXJG-FPLPWBNLSA-N","(Z)-hexadec-9-enoic acid",254.224580195,254.224580195
"Creatine phosphate",9548602,"C4H10N3O5P",211.11,"CN(CC(=O)O)C(=NP(=O)(O)O)N","CN(CC(=O)O)/C(=N/P(=O)(O)O)/N","InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)","DRBBFCLWYRJSJZ-UHFFFAOYSA-N","2-[methyl-[(E)-N'-phosphonocarbamimidoyl]amino]acetic acid",211.03580743,211.03580743
"CREATININE",588,"C4H7N3O",113.12,"CN1CC(=O)N=C1N","CN1CC(=O)N=C1N","InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)","DDRJAANPRJIHGJ-UHFFFAOYSA-N","2-amino-3-methyl-4H-imidazol-5-one",113.058911855,113.058911855
"cyclo(L-Val-L-Pro)",6992261,"C10H16N2O2",196.25,"CC(C)C1C(=O)N2CCCC2C(=O)N1","CC(C)[C@H]1C(=O)N2CCC[C@H]2C(=O)N1","InChI=1S/C10H16N2O2/c1-6(2)8-10(14)12-5-3-4-7(12)9(13)11-8/h6-8H,3-5H2,1-2H3,(H,11,13)/t7-,8-/m0/s1","XLUAWXQORJEMBD-YUMQZZPRSA-N","(3S,8aS)-3-propan-2-yl-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",196.121177757,196.121177757
"Cyclohexanamine",7965,"C6H13N",99.17,"C1CCC(CC1)N","C1CCC(CC1)N","InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2","PAFZNILMFXTMIY-UHFFFAOYSA-N","cyclohexanamine",99.104799419,99.104799419
"D-(+)-Ribonic acid .gamma.-lactone",219575,"C5H8O5",148.11,"C(C1C(C(C(=O)O1)O)O)O","C(C1C(C(C(=O)O1)O)O)O","InChI=1S/C5H8O5/c6-1-2-3(7)4(8)5(9)10-2/h2-4,6-8H,1H2","CUOKHACJLGPRHD-UHFFFAOYSA-N","3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-one",148.03717335,148.03717335
"D-.alpha.-Cyclohexylglycine",736849,"C8H15NO2",157.21,"C1CCC(CC1)C(C(=O)O)N","C1CCC(CC1)[C@H](C(=O)O)N","InChI=1S/C8H15NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h6-7H,1-5,9H2,(H,10,11)/t7-/m1/s1","WAMWSIDTKSNDCU-SSDOTTSWSA-N","(2R)-2-amino-2-cyclohexylacetic acid",157.110278721,157.110278721
"Debrisoquin",2966,"C10H13N3",175.23,"C1CN(CC2=CC=CC=C21)C(=N)N","C1CN(CC2=CC=CC=C21)C(=N)N","InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12)","JWPGJSVJDAJRLW-UHFFFAOYSA-N","3,4-dihydro-1H-isoquinoline-2-carboximidamide",175.110947427,175.110947427
"Dehydroascorbic acid",440667,"C6H6O6",174.11,"C(C(C1C(=O)C(=O)C(=O)O1)O)O","C([C@@H]([C@@H]1C(=O)C(=O)C(=O)O1)O)O","InChI=1S/C6H6O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-8H,1H2/t2-,5+/m0/s1","SBJKKFFYIZUCET-JLAZNSOCSA-N","(5R)-5-[(1S)-1,2-dihydroxyethyl]oxolane-2,3,4-trione",174.01643791,174.01643791
"Dehydro-piliformic-acid",137628584,"C11H16O4",212.24,"CC(C(=CCCCC=C)C(=O)O)C(=O)O","C[C@@H](/C(=C\CCCC=C)/C(=O)O)C(=O)O","InChI=1S/C11H16O4/c1-3-4-5-6-7-9(11(14)15)8(2)10(12)13/h3,7-8H,1,4-6H2,2H3,(H,12,13)(H,14,15)/b9-7+/t8-/m0/s1","XXJJXRVXYCYMBK-INTFFVIUSA-N","(2E,3S)-2-hex-5-enylidene-3-methylbutanedioic acid",212.10485899,212.10485899
"Dexpanthenol",131204,"C9H19NO4",205.25,"CC(C)(CO)C(C(=O)NCCCO)O","CC(C)(CO)[C@H](C(=O)NCCCO)O","InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)/t7-/m0/s1","SNPLKNRPJHDVJA-ZETCQYMHSA-N","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide",205.13140809,205.13140809
"Di(2,6-dimethyl-4-heptyl) phthalate",57003681,"C26H42O4",418.6,"CC(C)CC(CC(C)C)OC(=O)C1=CC=CC=C1C(=O)OC(CC(C)C)CC(C)C","CC(C)CC(CC(C)C)OC(=O)C1=CC=CC=C1C(=O)OC(CC(C)C)CC(C)C","InChI=1S/C26H42O4/c1-17(2)13-21(14-18(3)4)29-25(27)23-11-9-10-12-24(23)26(28)30-22(15-19(5)6)16-20(7)8/h9-12,17-22H,13-16H2,1-8H3","ZTIBSRHEQOIADA-UHFFFAOYSA-N","bis(2,6-dimethylheptan-4-yl) benzene-1,2-dicarboxylate",418.30830982,418.30830982
"Diethyl sebacate",8049,"C14H26O4",258.35,"CCOC(=O)CCCCCCCCC(=O)OCC","CCOC(=O)CCCCCCCCC(=O)OCC","InChI=1S/C14H26O4/c1-3-17-13(15)11-9-7-5-6-8-10-12-14(16)18-4-2/h3-12H2,1-2H3","ONKUXPIBXRRIDU-UHFFFAOYSA-N","diethyl decanedioate",258.18310931,258.18310931
"Diethyl succinate",31249,"C8H14O4",174.19,"CCOC(=O)CCC(=O)OCC","CCOC(=O)CCC(=O)OCC","InChI=1S/C8H14O4/c1-3-11-7(9)5-6-8(10)12-4-2/h3-6H2,1-2H3","DKMROQRQHGEIOW-UHFFFAOYSA-N","diethyl butanedioate",174.08920892,174.08920892
"Dimethyl succinate",7820,"C6H10O4",146.14,"COC(=O)CCC(=O)OC","COC(=O)CCC(=O)OC","InChI=1S/C6H10O4/c1-9-5(7)3-4-6(8)10-2/h3-4H2,1-2H3","MUXOBHXGJLMRAB-UHFFFAOYSA-N","dimethyl butanedioate",146.0579088,146.0579088
"Dimethyl sulfoxide",679,"C2H6OS",78.14,"CS(=O)C","CS(=O)C","InChI=1S/C2H6OS/c1-4(2)3/h1-2H3","IAZDPXIOMUYVGZ-UHFFFAOYSA-N","methylsulfinylmethane",78.01393598,78.01393598
"Dioctyl phthalate",8346,"C24H38O4",390.6,"CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC","CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC","InChI=1S/C24H38O4/c1-3-5-7-9-11-15-19-27-23(25)21-17-13-14-18-22(21)24(26)28-20-16-12-10-8-6-4-2/h13-14,17-18H,3-12,15-16,19-20H2,1-2H3","MQIUGAXCHLFZKX-UHFFFAOYSA-N","dioctyl benzene-1,2-dicarboxylate",390.27700969,390.27700969
"Ecgonine ethyl ester",18656861,"C11H19NO3",213.27,"CCOC(=O)C1C2CCC(N2C)CC1O","CCOC(=O)[C@@H]1[C@H]2CC[C@H](N2C)C[C@@H]1O","InChI=1S/C11H19NO3/c1-3-15-11(14)10-8-5-4-7(12(8)2)6-9(10)13/h7-10,13H,3-6H2,1-2H3/t7-,8+,9-,10+/m0/s1","ABDMBNAKYBUEEX-QCLAVDOMSA-N","ethyl (1R,2R,3S,5S)-3-hydroxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate",213.13649347,213.13649347
"Ergothioneine",5351619,"C9H15N3O2S",229.3,"C[N+](C)(C)C(CC1=CNC(=S)N1)C(=O)[O-]","C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C(=O)[O-]","InChI=1S/C9H15N3O2S/c1-12(2,3)7(8(13)14)4-6-5-10-9(15)11-6/h5,7H,4H2,1-3H3,(H2-,10,11,13,14,15)/t7-/m0/s1","SSISHJJTAXXQAX-ZETCQYMHSA-N","(2S)-3-(2-sulfanylidene-1,3-dihydroimidazol-4-yl)-2-(trimethylazaniumyl)propanoate",229.0884979,229.0884979
"Erucamide",5365371,"C22H43NO",337.6,"CCCCCCCCC=CCCCCCCCCCCCC(=O)N","CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N","InChI=1S/C22H43NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h9-10H,2-8,11-21H2,1H3,(H2,23,24)/b10-9-","UAUDZVJPLUQNMU-KTKRTIGZSA-N","(Z)-docos-13-enamide",337.334464995,337.334464995
"FLAVIN ADENINE DINUCLEOTIDE",643975,"C27H33N9O15P2",785.5,"CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O","InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1","VWWQXMAJTJZDQX-UYBVJOGSSA-N","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] hydrogen phosphate",785.15713538,785.15713538
"Flavine mononucleotide",643976,"C17H21N4O9P",456.3,"CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O","InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1","FVTCRASFADXXNN-SCRDCRAPSA-N","[(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] dihydrogen phosphate",456.10461526,456.10461526
"Glycyl-L-4-hydroxyproline",11862108,"C7H12N2O4",188.18,"C1C(CN(C1C(=O)O)C(=O)CN)O","C1[C@H](CN([C@@H]1C(=O)O)C(=O)CN)O","InChI=1S/C7H12N2O4/c8-2-6(11)9-3-4(10)1-5(9)7(12)13/h4-5,10H,1-3,8H2,(H,12,13)/t4-,5+/m1/s1","ZJQXGJBINIMBOY-UHNVWZDZSA-N","(2S,4R)-1-(2-aminoacetyl)-4-hydroxypyrrolidine-2-carboxylic acid",188.07970687,188.07970687
"Gly-Glu",99278,"C7H12N2O5",204.18,"C(CC(=O)O)C(C(=O)O)NC(=O)CN","C(CC(=O)O)[C@@H](C(=O)O)NC(=O)CN","InChI=1S/C7H12N2O5/c8-3-5(10)9-4(7(13)14)1-2-6(11)12/h4H,1-3,8H2,(H,9,10)(H,11,12)(H,13,14)/t4-/m0/s1","IEFJWDNGDZAYNZ-BYPYZUCNSA-N","(2S)-2-[(2-aminoacetyl)amino]pentanedioic acid",204.07462149,204.07462149
"Gly-Pro",3013625,"C7H12N2O3",172.18,"C1CC(N(C1)C(=O)CN)C(=O)O","C1C[C@H](N(C1)C(=O)CN)C(=O)O","InChI=1S/C7H12N2O3/c8-4-6(10)9-3-1-2-5(9)7(11)12/h5H,1-4,8H2,(H,11,12)/t5-/m0/s1","KZNQNBZMBZJQJO-YFKPBYRVSA-N","(2S)-1-(2-aminoacetyl)pyrrolidine-2-carboxylic acid",172.08479225,172.08479225
"Guanidinoethyl sulfonate",68340,"C3H9N3O3S",167.19,"C(CS(=O)(=O)O)N=C(N)N","C(CS(=O)(=O)O)N=C(N)N","InChI=1S/C3H9N3O3S/c4-3(5)6-1-2-10(7,8)9/h1-2H2,(H4,4,5,6)(H,7,8,9)","JKLRIMRKZBSSED-UHFFFAOYSA-N","2-(diaminomethylideneamino)ethanesulfonic acid",167.03646233,167.03646233
"GUANOSINE",135398635,"C10H13N5O5",283.24,"C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N","InChI=1S/C10H13N5O5/c11-10-13-7-4(8(19)14-10)12-2-15(7)9-6(18)5(17)3(1-16)20-9/h2-3,5-6,9,16-18H,1H2,(H3,11,13,14,19)/t3-,5-,6-,9-/m1/s1","NYHBQMYGNKIUIF-UUOKFMHZSA-N","2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",283.09166853,283.09166853
"HISTIDINE",6274,"C6H9N3O2",155.15,"C1=C(NC=N1)CC(C(=O)O)N","C1=C(NC=N1)C[C@@H](C(=O)O)N","InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1","HNDVDQJCIGZPNO-YFKPBYRVSA-N","(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid",155.069476538,155.069476538
"Hypoxanthine",135398638,"C5H4N4O",136.11,"C1=NC2=C(N1)C(=O)NC=N2","C1=NC2=C(N1)C(=O)NC=N2","InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT-UHFFFAOYSA-N","1,7-dihydropurin-6-one",136.03851076,136.03851076
"HYPOXANTHINE",135398638,"C5H4N4O",136.11,"C1=NC2=C(N1)C(=O)NC=N2","C1=NC2=C(N1)C(=O)NC=N2","InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT-UHFFFAOYSA-N","1,7-dihydropurin-6-one",136.03851076,136.03851076
"Ingenol",442042,"C20H28O5",348.4,"CC1CC2C(C2(C)C)C3C=C(C(C4(C1(C3=O)C=C(C4O)C)O)O)CO","C[C@@H]1C[C@@H]2[C@@H](C2(C)C)[C@@H]3C=C([C@H]([C@]4([C@@]1(C3=O)C=C([C@@H]4O)C)O)O)CO","InChI=1S/C20H28O5/c1-9-7-19-10(2)5-13-14(18(13,3)4)12(17(19)24)6-11(8-21)16(23)20(19,25)15(9)22/h6-7,10,12-16,21-23,25H,5,8H2,1-4H3/t10-,12+,13-,14+,15+,16-,19+,20-/m1/s1","VEBVPUXQAPLADL-POYOOMFHSA-N","(1S,4S,5R,6R,9S,10R,12R,14R)-4,5,6-trihydroxy-7-(hydroxymethyl)-3,11,11,14-tetramethyltetracyclo[7.5.1.01,5.010,12]pentadeca-2,7-dien-15-one",348.19367399,348.19367399
"INOSINE",135398641,"C10H12N4O5",268.23,"C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1","UGQMRVRMYYASKQ-KQYNXXCUSA-N","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",268.0807695,268.0807695
"Inosine",135398641,"C10H12N4O5",268.23,"C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1","UGQMRVRMYYASKQ-KQYNXXCUSA-N","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",268.0807695,268.0807695
"Inosine 5'-monophosphate",135398640,"C10H13N4O8P",348.21,"C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)COP(=O)(O)O)O)O","C1=NC2=C(C(=O)N1)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1","GRSZFWQUAKGDAV-KQYNXXCUSA-N","[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate",348.04710038,348.04710038
"Isovaleryl-L-carnitine",169235,"C12H23NO4",245.32,"CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","CC(C)CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","InChI=1S/C12H23NO4/c1-9(2)6-12(16)17-10(7-11(14)15)8-13(3,4)5/h9-10H,6-8H2,1-5H3/t10-/m1/s1","IGQBPDJNUXPEMT-SNVBAGLBSA-N","(3R)-3-(3-methylbutanoyloxy)-4-(trimethylazaniumyl)butanoate",245.16270821,245.16270821
"Jasmonic acid",5281166,"C12H18O3",210.27,"CCC=CCC1C(CCC1=O)CC(=O)O","CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)O","InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10-/m1/s1","ZNJFBWYDHIGLCU-HWKXXFMVSA-N","2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetic acid",210.125594432,210.125594432
