"Identifier","CID","MolecularFormula","MolecularWeight","CanonicalSMILES","IsomericSMILES","InChI","InChIKey","IUPACName","ExactMass","MonoisotopicMass"
"TG 16:0_18:1_22:5",165274387,"C59H102O6",907.4,"CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H102O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-32-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-33-24-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-31-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-27,29-31,34,37,56H,4-6,8-9,11-15,17-18,20-24,28,32-33,35-36,38-55H2,1-3H3/b10-7-,19-16-,27-25-,30-29-,31-26-,37-34-","PIUUVQYTIKPYIJ-OKBSSIGOSA-N","[3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",906.76764097,906.76764097
"TG O-16:0_18:1_22:5",164481780,"C59H104O5",893.5,"CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H104O5/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-34-37-40-43-46-49-52-58(60)63-56-57(55-62-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)64-59(61)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-26,28,30-32,34,37,57H,4-6,8-9,11-15,17-18,20-24,27,29,33,35-36,38-56H2,1-3H3/b10-7-,19-16-,28-25-,31-30-,32-26-,37-34-","XVOKLRKYGQHVKQ-CXAREIPSSA-N","[3-hexadecoxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",892.78837641,892.78837641
"TG O-18:0_16:0_22:6",164310364,"C59H104O5",893.5,"CCCCCCCCCCCCCCCCCCOCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCCCCCCCCC","CCCCCCCCCCCCCCCCCCOCC(COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCCCCCCCC","InChI=1S/C59H104O5/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-35-37-40-43-46-49-52-58(60)63-56-57(64-59(61)53-50-47-44-41-38-34-24-21-18-15-12-9-6-3)55-62-54-51-48-45-42-39-36-33-28-26-23-20-17-14-11-8-5-2/h7,10,16,19,25,27,30-31,35,37,43,46,57H,4-6,8-9,11-15,17-18,20-24,26,28-29,32-34,36,38-42,44-45,47-56H2,1-3H3/b10-7-,19-16-,27-25-,31-30-,37-35-,46-43-","KETUIIAODCHPHD-AZLNLTGWSA-N","(2-hexadecanoyloxy-3-octadecoxypropyl) (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",892.78837641,892.78837641
"TG O-18:1_16:0_22:5",164193777,"C59H104O5",893.5,"CCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C59H104O5/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-35-37-40-43-46-49-52-58(60)63-56-57(64-59(61)53-50-47-44-41-38-34-24-21-18-15-12-9-6-3)55-62-54-51-48-45-42-39-36-33-28-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-28,30-31,35,37,57H,4-6,8-9,11-15,17-18,20-24,29,32-34,36,38-56H2,1-3H3/b10-7-,19-16-,27-25-,28-26-,31-30-,37-35-","AITOJCJHPDOSQB-JIJUCVIDSA-N","[2-hexadecanoyloxy-3-[(Z)-octadec-9-enoxy]propyl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",892.78837641,892.78837641
"TG 18:1_18:1_20:3",165324253,"C59H104O6",909.5,"CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H104O6/c1-4-7-10-13-16-19-22-25-28-29-32-34-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-35-31-27-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-30-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-28,30-31,56H,4-6,8-9,11-15,17-18,20-24,29,32-55H2,1-3H3/b10-7-,19-16-,28-25-,30-26-,31-27-","XSHMZQHXHKCIMM-ZDJKFXHESA-N","2,3-bis[[(Z)-octadec-9-enoyl]oxy]propyl (11Z,14Z,17Z)-icosa-11,14,17-trienoate",908.78329103,908.78329103
"DG 16:0_40:5",164496421,"C59H106O5",895.5,"CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCCCCCCCCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C59H106O5/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-37-38-39-40-42-44-46-48-50-52-54-59(62)64-57(55-60)56-63-58(61)53-51-49-47-45-43-41-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,23-24,57,60H,3-4,6,8-10,12,14-16,19,22,25-56H2,1-2H3/b7-5-,13-11-,18-17-,21-20-,24-23-","YYHYRQJDDNDGHM-OKHYJSPFSA-N","(1-hexadecanoyloxy-3-hydroxypropan-2-yl) (25Z,28Z,31Z,34Z,37Z)-tetraconta-25,28,31,34,37-pentaenoate",894.80402648,894.80402648
"TG 18:0_18:1_20:3",165237488,"C59H106O6",911.5,"CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H106O6/c1-4-7-10-13-16-19-22-25-28-29-32-34-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-35-31-27-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-30-26-23-20-17-14-11-8-5-2/h7,10,16,19,25,27-28,31,56H,4-6,8-9,11-15,17-18,20-24,26,29-30,32-55H2,1-3H3/b10-7-,19-16-,28-25-,31-27-","JRSOEXBBHGXQPU-YMXOETFQSA-N","[3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (11Z,14Z,17Z)-icosa-11,14,17-trienoate",910.7989411,910.7989411
"TG O-16:0_18:1_22:3",164423693,"C59H108O5",897.5,"CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCCCCC=CCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H108O5/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-34-37-40-43-46-49-52-58(60)63-56-57(55-62-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)64-59(61)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h16,19,25-26,28,30-32,57H,4-15,17-18,20-24,27,29,33-56H2,1-3H3/b19-16-,28-25-,31-30-,32-26-","SSNDJMIOFUPWGB-GTQCDGPRSA-N","[3-hexadecoxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (10Z,13Z,16Z)-docosa-10,13,16-trienoate",896.81967654,896.81967654
"TG 18:1_18:1_20:1",165284715,"C59H108O6",913.5,"CCCCCCCCC=CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H108O6/c1-4-7-10-13-16-19-22-25-28-29-32-34-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-35-31-27-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-30-26-23-20-17-14-11-8-5-2/h25-28,30-31,56H,4-24,29,32-55H2,1-3H3/b28-25-,30-26-,31-27-","QXMHHXQBBKDSSL-DCKNSECYSA-N","2,3-bis[[(Z)-octadec-9-enoyl]oxy]propyl (Z)-icos-11-enoate",912.81459116,912.81459116
"TG O-16:0_18:1_22:2",164367768,"C59H110O5",899.5,"CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCCOCC(COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H110O5/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-34-37-40-43-46-49-52-58(60)63-56-57(55-62-54-51-48-45-42-39-36-27-24-21-18-15-12-9-6-3)64-59(61)53-50-47-44-41-38-35-32-26-23-20-17-14-11-8-5-2/h16,19,25-26,28,32,57H,4-15,17-18,20-24,27,29-31,33-56H2,1-3H3/b19-16-,28-25-,32-26-","ONHPAPVVFZPNHK-YJKCJOJGSA-N","[3-hexadecoxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (13Z,16Z)-docosa-13,16-dienoate",898.83532661,898.83532661
"TG 16:0_18:1_22:1",165204906,"C59H110O6",915.5,"CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H110O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-32-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-33-24-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-31-26-23-20-17-14-11-8-5-2/h25-27,31,56H,4-24,28-30,32-55H2,1-3H3/b27-25-,31-26-","DSGUAGSLOJNCIC-QTHXLOPMSA-N","[3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (Z)-docos-13-enoate",914.83024122,914.83024122
"TG O-22:1_16:0_18:1",164317532,"C59H112O5",901.5,"CCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C59H112O5/c1-4-7-10-13-16-19-22-25-27-28-29-30-31-33-36-39-42-45-48-51-54-62-55-57(64-59(61)53-50-47-44-41-38-34-24-21-18-15-12-9-6-3)56-63-58(60)52-49-46-43-40-37-35-32-26-23-20-17-14-11-8-5-2/h25-27,32,57H,4-24,28-31,33-56H2,1-3H3/b27-25-,32-26-","KSTCPJLMXNEJKX-KYKNGDSWSA-N","[3-[(Z)-docos-13-enoxy]-2-hexadecanoyloxypropyl] (Z)-octadec-9-enoate",900.85097667,900.85097667
"TG 16:0_16:1_24:0",165326532,"C59H112O6",917.5,"CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCC","CCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCC","InChI=1S/C59H112O6/c1-4-7-10-13-16-19-22-25-26-27-28-29-30-31-32-35-37-40-43-46-49-52-58(61)64-55-56(65-59(62)53-50-47-44-41-38-34-24-21-18-15-12-9-6-3)54-63-57(60)51-48-45-42-39-36-33-23-20-17-14-11-8-5-2/h21,24,56H,4-20,22-23,25-55H2,1-3H3/b24-21-","YBDNVPPIUIROLZ-FLFQWRMESA-N","[3-hexadecanoyloxy-2-[(Z)-hexadec-9-enoyl]oxypropyl] tetracosanoate",916.84589129,916.84589129
"PE 18:1_36:1",164266863,"C59H114NO8P",996.5,"CCCCCCCCCCC=CCCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN","CCCCCCCCCC/C=C\CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN","InChI=1S/C59H114NO8P/c1-3-5-7-9-11-13-15-17-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33-34-35-36-38-40-42-44-46-48-50-52-59(62)68-57(56-67-69(63,64)66-54-53-60)55-65-58(61)51-49-47-45-43-41-39-37-18-16-14-12-10-8-6-4-2/h18,20-21,37,57H,3-17,19,22-36,38-56,60H2,1-2H3,(H,63,64)/b21-20-,37-18-","GWGMDDIOSFTMEA-UZTHNSBOSA-N","[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(Z)-octadec-9-enoyl]oxypropan-2-yl] (Z)-hexatriacont-25-enoate",995.82820659,995.82820659
"TG O-18:0_16:0_22:0",164495035,"C59H116O5",905.5,"CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC","InChI=1S/C59H116O5/c1-4-7-10-13-16-19-22-25-27-29-30-31-32-35-37-40-43-46-49-52-58(60)63-56-57(64-59(61)53-50-47-44-41-38-34-24-21-18-15-12-9-6-3)55-62-54-51-48-45-42-39-36-33-28-26-23-20-17-14-11-8-5-2/h57H,4-56H2,1-3H3","YVSKKOPPCFWCDU-UHFFFAOYSA-N","(2-hexadecanoyloxy-3-octadecoxypropyl) docosanoate",904.8822768,904.8822768
"TG 16:1_18:2_22:6",165263142,"C59H96O6",901.4,"CCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCC=CCCCCC","CCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","InChI=1S/C59H96O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-32-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-33-24-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-31-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-21,24-27,29-31,34,37,43,46,56H,4-6,8-9,11-15,18,22-23,28,32-33,35-36,38-42,44-45,47-55H2,1-3H3/b10-7-,19-16-,20-17-,24-21-,27-25-,30-29-,31-26-,37-34-,46-43-","NPWRXJYSKONMPV-IJGJWFDLSA-N","[3-[(Z)-hexadec-9-enoyl]oxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",900.72069078,900.72069078
"TG 16:1_18:1_22:6",165316546,"C59H98O6",903.4,"CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C59H98O6/c1-4-7-10-13-16-19-22-25-27-28-29-30-32-34-37-40-43-46-49-52-58(61)64-55-56(54-63-57(60)51-48-45-42-39-36-33-24-21-18-15-12-9-6-3)65-59(62)53-50-47-44-41-38-35-31-26-23-20-17-14-11-8-5-2/h7,10,16,19,21,24-27,29-31,34,37,43,46,56H,4-6,8-9,11-15,17-18,20,22-23,28,32-33,35-36,38-42,44-45,47-55H2,1-3H3/b10-7-,19-16-,24-21-,27-25-,30-29-,31-26-,37-34-,46-43-","WNPSDDIXKTYRFE-WFXUHYPOSA-N","[3-[(Z)-hexadec-9-enoyl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",902.73634084,902.73634084
"TG 17:1_18:1_22:6",165299282,"C60H100O6",917.4,"CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCC)COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCC)COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C60H100O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-35-38-41-44-47-50-53-59(62)65-56-57(55-64-58(61)52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)66-60(63)54-51-48-45-42-39-36-32-26-23-20-17-14-11-8-5-2/h7,10,16,19,24-28,30-32,35,38,44,47,57H,4-6,8-9,11-15,17-18,20-23,29,33-34,36-37,39-43,45-46,48-56H2,1-3H3/b10-7-,19-16-,27-24-,28-25-,31-30-,32-26-,38-35-,47-44-","TWPMXRLUNBRLHZ-CCYJWLCNSA-N","[3-[(Z)-heptadec-9-enoyl]oxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",916.75199091,916.75199091
"TG 17:0_18:1_22:6",165242958,"C60H102O6",919.4,"CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C60H102O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-35-38-41-44-47-50-53-59(62)65-56-57(55-64-58(61)52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)66-60(63)54-51-48-45-42-39-36-32-26-23-20-17-14-11-8-5-2/h7,10,16,19,25-26,28,30-32,35,38,44,47,57H,4-6,8-9,11-15,17-18,20-24,27,29,33-34,36-37,39-43,45-46,48-56H2,1-3H3/b10-7-,19-16-,28-25-,31-30-,32-26-,38-35-,47-44-","KNLOBBXZCRLSRS-NWEKVDTRSA-N","[3-heptadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",918.76764097,918.76764097
"TG 17:1_18:0_22:5",165210827,"C60H104O6",921.5,"CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCC)COC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC","CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCC)COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C60H104O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-35-38-41-44-47-50-53-59(62)65-56-57(55-64-58(61)52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)66-60(63)54-51-48-45-42-39-36-32-26-23-20-17-14-11-8-5-2/h7,10,16,19,24-25,27-28,30-31,35,38,57H,4-6,8-9,11-15,17-18,20-23,26,29,32-34,36-37,39-56H2,1-3H3/b10-7-,19-16-,27-24-,28-25-,31-30-,38-35-","FQFGZZHSTMSBSJ-WGPBZZAVSA-N","[3-[(Z)-heptadec-9-enoyl]oxy-2-octadecanoyloxypropyl] (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate",920.78329103,920.78329103
"TG 18:1_18:1_21:2",165200963,"C60H108O6",925.5,"CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCC=CCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C60H108O6/c1-4-7-10-13-16-19-22-25-28-29-30-33-35-38-41-44-47-50-53-59(62)65-56-57(66-60(63)54-51-48-45-42-39-36-32-27-24-21-18-15-12-9-6-3)55-64-58(61)52-49-46-43-40-37-34-31-26-23-20-17-14-11-8-5-2/h19,22,26-29,31-32,57H,4-18,20-21,23-25,30,33-56H2,1-3H3/b22-19-,29-28-,31-26-,32-27-","DCKBMVWLYYIYKY-VUIPPZHISA-N","2,3-bis[[(Z)-octadec-9-enoyl]oxy]propyl (11Z,14Z)-henicosa-11,14-dienoate",924.81459116,924.81459116
"TG 18:1_18:1_21:1",165190969,"C60H110O6",927.5,"CCCCCCCCCC=CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC","CCCCCCCCC/C=C\CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC","InChI=1S/C60H110O6/c1-4-7-10-13-16-19-22-25-28-29-30-33-35-38-41-44-47-50-53-59(62)65-56-57(66-60(63)54-51-48-45-42-39-36-32-27-24-21-18-15-12-9-6-3)55-64-58(61)52-49-46-43-40-37-34-31-26-23-20-17-14-11-8-5-2/h26-29,31-32,57H,4-25,30,33-56H2,1-3H3/b29-28-,31-26-,32-27-","BOSKCQLWDZBAMD-DUYSBLAUSA-N","2,3-bis[[(Z)-octadec-9-enoyl]oxy]propyl (Z)-henicos-11-enoate",926.83024122,926.83024122
"TG 17:1_18:2_22:6",165329332,"C60H98O6",915.4,"CCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCC=CCCCCC","CCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC","InChI=1S/C60H98O6/c1-4-7-10-13-16-19-22-25-28-29-30-31-33-35-38-41-44-47-50-53-59(62)65-56-57(55-64-58(61)52-49-46-43-40-37-34-27-24-21-18-15-12-9-6-3)66-60(63)54-51-48-45-42-39-36-32-26-23-20-17-14-11-8-5-2/h7,10,16-17,19-20,24-28,30-32,35,38,44,47,57H,4-6,8-9,11-15,18,21-23,29,33-34,36-37,39-43,45-46,48-56H2,1-3H3/b10-7-,19-16-,20-17-,27-24-,28-25-,31-30-,32-26-,38-35-,47-44-","YMCXEKNTGFLPOF-XVMWTWCKSA-N","[3-[(Z)-heptadec-9-enoyl]oxy-2-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",914.73634084,914.73634084
"TG O-18:5_20:1_20:4",164335670,"C61H100O5",913.4,"CCCCCCCCC=CCCCCCCCCCC(=O)OC(COCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCC=CCC=CCC=CCC=CCC","CCCCCCCC/C=C\CCCCCCCCCC(=O)OC(COCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC","InChI=1S/C61H100O5/c1-4-7-10-13-16-19-22-25-28-31-33-36-39-42-45-48-51-54-60(62)65-58-59(57-64-56-53-50-47-44-41-38-35-30-27-24-21-18-15-12-9-6-3)66-61(63)55-52-49-46-43-40-37-34-32-29-26-23-20-17-14-11-8-5-2/h7,9-10,12,16,18-19,21,25-30,33,36,38,41,47,50,59H,4-6,8,11,13-15,17,20,22-24,31-32,34-35,37,39-40,42-46,48-49,51-58H2,1-3H3/b10-7-,12-9-,19-16-,21-18-,28-25-,29-26-,30-27-,36-33-,41-38-,50-47-","MCHFRUIFHIFUBT-ZRFOAGDPSA-N","[1-[(8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl]oxy-3-[(3Z,6Z,9Z,12Z,15Z)-octadeca-3,6,9,12,15-pentaenoxy]propan-2-yl] (Z)-icos-11-enoate",912.75707629,912.75707629
"TG 16:0_20:3_22:6",165323909,"C61H100O6",929.4,"CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)OC(=O)CCCCCCCCCC=CCC=CCC=CCC","CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC","InChI=1S/C61H100O6/c1-4-7-10-13-16-19-22-25-27-29-30-32-33-36-39-42-45-48-51-54-60(63)66-57-58(56-65-59(62)53-50-47-44-41-38-35-24-21-18-15-12-9-6-3)67-61(64)55-52-49-46-43-40-37-34-31-28-26-23-20-17-14-11-8-5-2/h7-8,10-11,16-17,19-20,25-28,30,32,36,39,45,48,58H,4-6,9,12-15,18,21-24,29,31,33-35,37-38,40-44,46-47,49-57H2,1-3H3/b10-7-,11-8-,19-16-,20-17-,27-25-,28-26-,32-30-,39-36-,48-45-","XQYGSIGDQBWBIY-AWNUNXMASA-N","[3-hexadecanoyloxy-2-[(11Z,14Z,17Z)-icosa-11,14,17-trienoyl]oxypropyl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate",928.75199091,928.75199091
